fechahora,duracion,precip,observador
2023-12-05 09:00:00,66,0.3,TITO
2023-12-08 09:00:00,64,4.8,JAVIER
2023-12-11 08:00:00,78,3.2,EDGAR
2023-12-14 18:00:00,8,9.1,TITO
2023-12-15 07:00:00,5,1.8,TITO
2023-12-15 16:00:00,17,0.2,TITO
2023-12-16 15:00:00,5,2.0,TITO
2023-12-17 03:00:00,9,0.0,TITO
2023-12-17 16:00:00,50,1.6,TITO
2023-12-20 03:00:00,147,3.0,JAVIER
2023-12-26 14:00:00,44,1.2,TITO
2023-12-28 13:00:00,21,0.5,BERNARDINO
2023-12-29 17:00:00,19,0.3,BERNARDINO
2023-12-30 15:00:00,3,0.2,BERNARDINO
2023-12-31 07:00:00,16,3.4,BERNARDINO
