fecha,h0,hf,pluvio,observador,fechahora,duracion,conico
2016-04-06,12,14,3.0,DIEGO,2016-04-06 12:00:00,2,
2016-04-08,12,14,2.3,DIEGO,2016-04-08 12:00:00,2,
2016-04-09,14,17,3.8,MIGUEL,2016-04-09 14:00:00,3,
2016-04-12,13,15,5.0,DIEGO,2016-04-12 13:00:00,2,
2016-04-15,13,15,1.2,DIEGO,2016-04-15 13:00:00,2,
2016-04-19,9,13,1.1,MIGUEL,2016-04-19 09:00:00,4,
2016-04-19,21,23,3.8,MIGUEL,2016-04-19 21:00:00,2,
2016-04-22,11,14,1.2,MIGUEL,2016-04-22 11:00:00,3,
2016-06-28,13,15,6.0,ROBERTO,2016-06-28 13:00:00,2,
2016-06-29,1,2,3.2,ROBERTO,2016-06-29 01:00:00,1,
2016-08-10,2,6,3.2,FREDDY,2016-08-10 02:00:00,4,
2016-08-25,16,17,0.2,DIEGO,2016-08-25 16:00:00,1,
2016-08-27,7,8,0.3,ROBERTO,2016-08-27 07:00:00,1,
2016-09-04,21,23,0.6,DIEGO,2016-09-04 21:00:00,2,
2016-09-21,16,20,0.3,MILTON,2016-09-21 16:00:00,4,
2016-09-24,20,20,1.2,FILI  ,2016-09-24 20:00:00,0,
2016-09-30,4,7,0.2,MILTON,2016-09-30 04:00:00,3,
2016-10-10,11,13,1.4,DIEGO,2016-10-10 11:00:00,2,
2016-10-11,5,7,4.0,ROBERTO,2016-10-11 05:00:00,2,
2016-10-11,15,16,1.0,ROBERTO,2016-10-11 15:00:00,1,
2016-10-17,4,7,0.4,MILTON,2016-10-17 04:00:00,3,
2016-10-17,19,22,8.8,MILTON,2016-10-17 19:00:00,3,
2016-10-20,15,17,3.6,DIEGO,2016-10-20 15:00:00,2,
2016-10-20,20,23,2.6,DIEGO,2016-10-20 20:00:00,3,
2016-10-21,12,13,3.2,DIEGO,2016-10-21 12:00:00,1,
2016-10-25,15,17,3.0,NATALIO,2016-10-25 15:00:00,2,
2016-10-29,12,16,5.0,ROBERTO,2016-10-29 12:00:00,4,
2016-10-29,22,23,3.0,ROBERTO,2016-10-29 22:00:00,1,
2016-11-10,18,19,5.0,ROBERTO,2016-11-10 18:00:00,1,
2016-11-22,11,12,3.4,NATALIO,2016-11-22 11:00:00,1,
2016-11-23,13,13,2.4,NATALIO,2016-11-23 13:00:00,0,
2016-11-26,12,16,5.0,ROBERTO,2016-11-26 12:00:00,4,
2016-11-27,12,16,18.0,ROBERTO,2016-11-27 12:00:00,4,
2016-11-28,13,15,6.0,ROBERTO,2016-11-28 13:00:00,2,
2016-11-29,13,16,3.0,MILTON,2016-11-29 13:00:00,3,
2016-11-30,4,6,2.3,MILTON,2016-11-30 04:00:00,2,
